animal_type,intake_condition,intake_type,sex_upon_intake,age_upon_intake_(years),intake_number,time_in_shelter_days,sex_upon_outcome,age_upon_outcome_(years),outcome_number,outcome_type
Dog,Normal,Stray,Neutered Male,9,1,0.982638889,Neutered Male,9,1,Return to Owner
Dog,Normal,Stray,Neutered Male,6,2,0.795833333,Neutered Male,6,2,Return to Owner
Cat,Normal,Stray,Neutered Male,4,1,4.224305556,Neutered Male,4,1,Died
Cat,Normal,Owner Surrender,Neutered Male,7,1,31.20694444,Neutered Male,7,1,Adoption
Dog,Normal,Stray,Neutered Male,10,1,0.804861111,Neutered Male,10,1,Return to Owner
Dog,Normal,Stray,Neutered Male,5,1,13.63888889,Neutered Male,5,1,Return to Owner
Dog,Normal,Stray,Neutered Male,5,1,1.070833333,Neutered Male,5,1,Return to Owner
Dog,Normal,Public Assist,Neutered Male,9,1,11.01527778,Neutered Male,9,1,Return to Owner
Cat,Normal,Stray,Spayed Female,10,1,3.940972222,Spayed Female,10,1,Return to Owner
Dog,Normal,Owner Surrender,Spayed Female,10,1,2.920138889,Spayed Female,10,1,Return to Owner
Dog,Normal,Public Assist,Spayed Female,5,1,9.802083333,Spayed Female,5,1,Return to Owner
Dog,Normal,Stray,Neutered Male,10,1,0.150694444,Neutered Male,10,1,Return to Owner
Dog,Normal,Stray,Neutered Male,9,2,0.329861111,Neutered Male,9,2,Return to Owner
Dog,Normal,Stray,Spayed Female,10,1,2.124305556,Spayed Female,10,1,Return to Owner
Dog,Normal,Stray,Spayed Female,9,1,0.054166667,Spayed Female,9,1,Return to Owner
Dog,Normal,Stray,Spayed Female,8,1,0.272916667,Spayed Female,8,1,Return to Owner
Dog,Normal,Stray,Spayed Female,8,1,0.272916667,Spayed Female,8,1,Return to Owner
Dog,Normal,Stray,Neutered Male,9,1,112.0298611,Neutered Male,9,1,Adoption
Dog,Normal,Stray,Neutered Male,9,2,0.268055556,Neutered Male,9,2,Return to Owner
Dog,Normal,Stray,Neutered Male,9,3,0.234027778,Neutered Male,9,3,Return to Owner
Dog,Normal,Stray,Neutered Male,6,4,0.971527778,Neutered Male,6,4,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,6,1,1.153472222,Neutered Male,6,1,Return to Owner
Dog,Normal,Stray,Spayed Female,13,1,3.040277778,Spayed Female,13,1,Return to Owner
Dog,Normal,Owner Surrender,Spayed Female,7,1,68.27152778,Spayed Female,7,1,Transfer
Dog,Normal,Owner Surrender,Spayed Female,7,1,30.05902778,Spayed Female,7,1,Died
Dog,Normal,Owner Surrender,Neutered Male,9,1,2.081944444,Neutered Male,9,1,Adoption
Dog,Normal,Stray,Neutered Male,8,1,2.114583333,Neutered Male,8,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,5,1,5.108333333,Neutered Male,5,1,Euthanasia
Dog,Normal,Stray,Spayed Female,6,1,8.679861111,Spayed Female,6,1,Euthanasia
Dog,Normal,Stray,Neutered Male,6,1,4.044444444,Neutered Male,6,1,Transfer
Dog,Normal,Stray,Spayed Female,6,1,1.818055556,Spayed Female,6,1,Return to Owner
Dog,Normal,Public Assist,Neutered Male,8,1,7.878472222,Neutered Male,8,1,Return to Owner
Dog,Normal,Stray,Intact Male,11,1,0.211111111,Intact Male,11,1,Return to Owner
Dog,Sick,Euthanasia Request,Spayed Female,14,1,0.021527778,Spayed Female,14,1,Euthanasia
Dog,Normal,Public Assist,Spayed Female,8,1,8.089583333,Spayed Female,8,1,Return to Owner
Dog,Normal,Stray,Spayed Female,7,2,8.088194444,Spayed Female,7,2,Return to Owner
Dog,Normal,Public Assist,Spayed Female,5,3,10.17361111,Spayed Female,5,3,Return to Owner
Dog,Normal,Owner Surrender,Spayed Female,9,1,1.146527778,Spayed Female,9,1,Adoption
Dog,Normal,Owner Surrender,Spayed Female,5,2,0.24375,Spayed Female,5,2,Missing
Dog,Normal,Stray,Spayed Female,8,1,7.69375,Spayed Female,8,1,Euthanasia
Dog,Normal,Stray,Spayed Female,8,1,224.9375,Spayed Female,7,1,Adoption
Dog,Normal,Stray,Neutered Male,12,1,3.002777778,Neutered Male,12,1,Return to Owner
Dog,Normal,Stray,Neutered Male,6,1,0.078472222,Neutered Male,6,1,Return to Owner
Dog,Normal,Stray,Neutered Male,4,1,0.079861111,Neutered Male,4,1,Return to Owner
Dog,Normal,Owner Surrender,Spayed Female,8,1,0.217361111,Spayed Female,8,1,Adoption
Dog,Injured,Stray,Neutered Male,11,1,0.139583333,Neutered Male,11,1,Euthanasia
Cat,Normal,Public Assist,Neutered Male,5,1,2.368055556,Neutered Male,5,1,Return to Owner
Cat,Normal,Stray,Neutered Male,5,2,9.94375,Neutered Male,5,2,Return to Owner
Dog,Normal,Stray,Neutered Male,11,1,6.654166667,Neutered Male,11,1,Adoption
Dog,Normal,Stray,Neutered Male,5,1,136.7368056,Neutered Male,5,1,Adoption
Cat,Normal,Stray,Neutered Male,10,1,0.0375,Neutered Male,10,1,Return to Owner
Dog,Normal,Stray,Intact Male,5,1,2.146527778,Neutered Male,5,1,Return to Owner
Cat,Normal,Public Assist,Intact Female,4,1,1.091666667,Spayed Female,4,1,Return to Owner
Dog,Aged,Stray,Spayed Female,13,1,0.842361111,Spayed Female,13,1,Return to Owner
Dog,Normal,Public Assist,Neutered Male,7,1,2.14375,Neutered Male,7,1,Return to Owner
Dog,Normal,Stray,Neutered Male,6,1,1.717361111,Neutered Male,6,1,Return to Owner
Dog,Normal,Public Assist,Neutered Male,10,1,6.052083333,Neutered Male,10,1,Return to Owner
Cat,Normal,Stray,Spayed Female,5,1,18.84375,Spayed Female,5,1,Transfer
Dog,Normal,Owner Surrender,Spayed Female,5,1,29.10347222,Spayed Female,5,1,Rto-Adopt
Dog,Normal,Public Assist,Neutered Male,5,1,9.851388889,Neutered Male,5,1,Return to Owner
Dog,Normal,Stray,Neutered Male,9,1,0.022222222,Neutered Male,9,1,Return to Owner
Dog,Normal,Stray,Neutered Male,8,2,1.0875,Neutered Male,8,2,Return to Owner
Dog,Normal,Owner Surrender,Spayed Female,10,1,10.10902778,Spayed Female,10,1,Transfer
Dog,Normal,Owner Surrender,Spayed Female,6,1,1.008333333,Spayed Female,6,1,Adoption
Cat,Normal,Owner Surrender,Spayed Female,5,1,24.96736111,Spayed Female,6,1,Missing
Dog,Normal,Stray,Intact Male,7,1,2.211111111,Neutered Male,7,1,Return to Owner
Dog,Normal,Stray,Neutered Male,7,1,1.014583333,Neutered Male,7,1,Return to Owner
Dog,Normal,Stray,Spayed Female,7,1,2.967361111,Spayed Female,7,1,Return to Owner
Dog,Normal,Stray,Spayed Female,7,2,27.28055556,Spayed Female,7,2,Return to Owner
Dog,Normal,Stray,Spayed Female,6,3,0.029166667,Spayed Female,6,3,Return to Owner
Dog,Normal,Stray,Spayed Female,5,4,0.163194444,Spayed Female,5,4,Return to Owner
Dog,Injured,Stray,Spayed Female,5,1,1.070138889,Spayed Female,5,1,Return to Owner
Dog,Normal,Stray,Spayed Female,4,2,6.900694444,Spayed Female,4,2,Return to Owner
Dog,Normal,Public Assist,Neutered Male,5,1,9.95,Neutered Male,5,1,Return to Owner
Dog,Normal,Stray,Spayed Female,5,1,219.9180556,Spayed Female,6,1,Adoption
Cat,Injured,Stray,Neutered Male,9,1,1.103472222,Neutered Male,9,1,Return to Owner
Cat,Normal,Stray,Neutered Male,7,2,10.39236111,Neutered Male,8,2,Return to Owner
Dog,Normal,Stray,Spayed Female,10,1,0.127083333,Spayed Female,10,1,Return to Owner
Dog,Normal,Public Assist,Neutered Male,4,1,133.6201389,Neutered Male,4,1,Missing
Dog,Normal,Stray,Spayed Female,6,1,3.929166667,Spayed Female,6,1,Return to Owner
Dog,Normal,Owner Surrender,Intact Male,8,1,2.847222222,Intact Male,8,1,Euthanasia
Dog,Normal,Public Assist,Intact Male,8,2,2.072916667,Intact Male,8,2,Return to Owner
Dog,Normal,Public Assist,Neutered Male,7,1,5.925694444,Neutered Male,7,1,Return to Owner
Dog,Normal,Euthanasia Request,Spayed Female,5,1,6.209722222,Spayed Female,5,1,Euthanasia
Cat,Normal,Owner Surrender,Spayed Female,8,1,17.15347222,Spayed Female,8,1,Transfer
Dog,Normal,Stray,Spayed Female,12,1,0.510416667,Spayed Female,12,1,Return to Owner
Dog,Normal,Public Assist,Neutered Male,7,1,9.9625,Neutered Male,7,1,Euthanasia
Dog,Normal,Public Assist,Neutered Male,7,2,10.14444444,Neutered Male,7,2,Return to Owner
Cat,Normal,Owner Surrender,Spayed Female,8,1,42.07986111,Spayed Female,8,1,Adoption
Cat,Normal,Owner Surrender,Spayed Female,7,2,10.2625,Spayed Female,7,2,Adoption
Dog,Normal,Owner Surrender,Spayed Female,5,1,4.086111111,Spayed Female,5,1,Euthanasia
Dog,Normal,Stray,Neutered Male,9,1,2.042361111,Neutered Male,9,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,8,2,26.01597222,Neutered Male,8,2,Rto-Adopt
Dog,Injured,Stray,Neutered Male,8,1,20.97291667,Neutered Male,8,1,Transfer
Dog,Normal,Owner Surrender,Spayed Female,4,1,59.98472222,Spayed Female,4,1,Transfer
Dog,Normal,Stray,Spayed Female,7,1,2.0375,Spayed Female,7,1,Return to Owner
Dog,Normal,Owner Surrender,Spayed Female,4,1,3.029166667,Spayed Female,5,1,Transfer
Dog,Normal,Stray,Spayed Female,5,1,13.72013889,Spayed Female,5,1,Transfer
Dog,Normal,Public Assist,Neutered Male,8,1,34.09652778,Neutered Male,8,1,Adoption
Dog,Normal,Public Assist,Neutered Male,8,2,2.761805556,Neutered Male,8,2,Return to Owner
Dog,Normal,Stray,Intact Female,6,1,0.088194444,Intact Female,6,1,Return to Owner
Dog,Normal,Stray,Neutered Male,5,1,5.045833333,Neutered Male,5,1,Return to Owner
Dog,Normal,Stray,Neutered Male,7,1,0.090277778,Neutered Male,7,1,Return to Owner
Dog,Normal,Stray,Spayed Female,9,1,0.245833333,Spayed Female,9,1,Return to Owner
Dog,Normal,Stray,Spayed Female,6,2,2.127777778,Spayed Female,6,2,Return to Owner
Dog,Normal,Stray,Spayed Female,3,1,2.146527778,Spayed Female,3,1,Return to Owner
Dog,Normal,Stray,Intact Female,1,2,2.576388889,Spayed Female,1,2,Return to Owner
Dog,Normal,Stray,Intact Female,0.904109589,3,0.739583333,Intact Female,0.904109589,3,Return to Owner
Dog,Normal,Public Assist,Intact Female,0.739726027,4,2.80625,Intact Female,0.821917808,4,Return to Owner
Dog,Normal,Public Assist,Neutered Male,8,1,9.011805556,Neutered Male,8,1,Return to Owner
Dog,Injured,Owner Surrender,Neutered Male,10,1,0.045138889,Neutered Male,10,1,Euthanasia
Dog,Normal,Public Assist,Spayed Female,5,1,50.07708333,Spayed Female,5,1,Relocate
Dog,Normal,Public Assist,Neutered Male,9,1,6.733333333,Neutered Male,9,1,Return to Owner
Dog,Normal,Stray,Neutered Male,8,2,0.416666667,Neutered Male,8,2,Return to Owner
Dog,Normal,Stray,Neutered Male,8,3,0.91875,Neutered Male,8,3,Return to Owner
Dog,Injured,Stray,Spayed Female,7,1,10.95208333,Spayed Female,7,1,Euthanasia
Dog,Normal,Public Assist,Neutered Male,9,1,8.007638889,Neutered Male,9,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,3,1,44.03888889,Neutered Male,4,1,Adoption
Cat,Normal,Owner Surrender,Spayed Female,7,1,3.936111111,Spayed Female,7,1,Died
Dog,Normal,Owner Surrender,Spayed Female,7,1,92.88472222,Spayed Female,8,1,Adoption
Dog,Normal,Stray,Spayed Female,7,2,64.92986111,Spayed Female,7,2,Died
Dog,Normal,Stray,Spayed Female,7,3,0.872916667,Spayed Female,7,3,Return to Owner
Dog,Normal,Stray,Spayed Female,4,4,0.66875,Spayed Female,4,4,Return to Owner
Dog,Normal,Stray,Intact Male,6,1,0.713888889,Intact Male,6,1,Return to Owner
Dog,Normal,Owner Surrender,Spayed Female,4,1,1.898611111,Spayed Female,4,1,Adoption
Dog,Normal,Stray,Neutered Male,8,1,12.25208333,Neutered Male,8,1,Rto-Adopt
Dog,Normal,Owner Surrender,Spayed Female,4,1,32.05347222,Spayed Female,4,1,Adoption
Dog,Normal,Owner Surrender,Neutered Male,6,1,5.900694444,Neutered Male,6,1,Rto-Adopt
Dog,Normal,Stray,Neutered Male,5,2,12.86319444,Neutered Male,6,2,Return to Owner
Dog,Normal,Public Assist,Neutered Male,5,3,11.87152778,Neutered Male,5,3,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,5,1,2.990277778,Neutered Male,5,1,Euthanasia
Dog,Injured,Stray,Neutered Male,9,1,78.15763889,Neutered Male,9,1,Adoption
Cat,Injured,Stray,Neutered Male,9,1,3.084722222,Neutered Male,9,1,Euthanasia
Cat,Normal,Owner Surrender,Spayed Female,3,1,30.20902778,Spayed Female,4,1,Adoption
Cat,Normal,Owner Surrender,Spayed Female,7,1,23.60138889,Spayed Female,7,1,Adoption
Cat,Normal,Owner Surrender,Spayed Female,7,2,25.95486111,Spayed Female,7,2,Adoption
Cat,Normal,Owner Surrender,Neutered Male,6,1,56.26736111,Neutered Male,6,1,Rto-Adopt
Dog,Injured,Stray,Spayed Female,6,1,7.097916667,Spayed Female,6,1,Transfer
Dog,Normal,Stray,Spayed Female,9,1,0.013888889,Spayed Female,9,1,Return to Owner
Dog,Normal,Stray,Neutered Male,5,1,0.742361111,Neutered Male,5,1,Return to Owner
Dog,Normal,Stray,Spayed Female,8,1,0.416666667,Spayed Female,8,1,Return to Owner
Dog,Normal,Stray,Spayed Female,5,2,2.020138889,Spayed Female,5,2,Return to Owner
Dog,Normal,Stray,Neutered Male,9,1,6.870138889,Neutered Male,9,1,Adoption
Dog,Normal,Public Assist,Neutered Male,4,1,16.2,Neutered Male,4,1,Euthanasia
Dog,Normal,Owner Surrender,Neutered Male,10,1,4.277777778,Neutered Male,10,1,Relocate
Dog,Normal,Stray,Spayed Female,5,1,3.163888889,Spayed Female,5,1,Return to Owner
Dog,Normal,Stray,Neutered Male,8,1,4.898611111,Neutered Male,8,1,Return to Owner
Dog,Normal,Stray,Neutered Male,7,2,2.944444444,Neutered Male,7,2,Return to Owner
Dog,Normal,Stray,Neutered Male,6,3,2.5,Neutered Male,6,3,Return to Owner
Dog,Normal,Public Assist,Spayed Female,6,1,12.09444444,Spayed Female,6,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,8,1,0.859722222,Neutered Male,8,1,Return to Owner
Dog,Normal,Stray,Spayed Female,4,1,13.11875,Spayed Female,4,1,Return to Owner
Dog,Normal,Stray,Neutered Male,4,1,2.06875,Neutered Male,4,1,Return to Owner
Dog,Normal,Stray,Spayed Female,6,1,0.874305556,Spayed Female,6,1,Return to Owner
Dog,Normal,Stray,Neutered Male,6,1,0.146527778,Neutered Male,6,1,Return to Owner
Dog,Normal,Stray,Neutered Male,6,2,2.230555556,Neutered Male,6,2,Return to Owner
Dog,Normal,Stray,Neutered Male,6,1,16.24652778,Neutered Male,6,1,Rto-Adopt
Dog,Normal,Stray,Neutered Male,5,2,0.28125,Neutered Male,5,2,Return to Owner
Cat,Normal,Stray,Neutered Male,10,1,0.102777778,Neutered Male,10,1,Return to Owner
Dog,Injured,Stray,Spayed Female,7,1,2.833333333,Spayed Female,7,1,Return to Owner
Dog,Normal,Public Assist,Spayed Female,5,2,12.63611111,Spayed Female,6,2,Return to Owner
Dog,Normal,Stray,Neutered Male,8,1,0.2,Neutered Male,8,1,Return to Owner
Dog,Normal,Owner Surrender,Spayed Female,5,1,0.206944444,Spayed Female,5,1,Transfer
Dog,Normal,Stray,Spayed Female,8,1,24.02847222,Spayed Female,8,1,Adoption
Dog,Normal,Owner Surrender,Spayed Female,5,2,1.302777778,Spayed Female,5,2,Adoption
Dog,Normal,Owner Surrender,Spayed Female,5,3,11.97152778,Spayed Female,5,3,Return to Owner
Dog,Normal,Owner Surrender,Spayed Female,4,4,4.054861111,Spayed Female,4,4,Adoption
Dog,Normal,Owner Surrender,Spayed Female,5,1,26.34722222,Spayed Female,5,1,Missing
Dog,Normal,Owner Surrender,Spayed Female,5,2,11.97222222,Spayed Female,5,2,Return to Owner
Dog,Normal,Owner Surrender,Spayed Female,4,3,4.057638889,Spayed Female,4,3,Adoption
Dog,Normal,Stray,Neutered Male,8,1,8.253472222,Neutered Male,8,1,Return to Owner
Cat,Normal,Public Assist,Neutered Male,8,1,8.759027778,Neutered Male,8,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,5,1,272.9354167,Neutered Male,6,1,Missing
Dog,Normal,Stray,Intact Male,8,1,1.263888889,Neutered Male,8,1,Return to Owner
Dog,Normal,Owner Surrender,Spayed Female,5,1,6.861805556,Spayed Female,5,1,Transfer
Dog,Normal,Stray,Neutered Male,15,1,8.345833333,Neutered Male,15,1,Adoption
Dog,Normal,Stray,Neutered Male,15,2,0.134722222,Neutered Male,15,2,Return to Owner
Dog,Normal,Stray,Neutered Male,14,3,0.009027778,Neutered Male,14,3,Return to Owner
Cat,Normal,Stray,Neutered Male,4,1,10.94652778,Neutered Male,4,1,Return to Owner
Dog,Normal,Stray,Intact Male,16,1,0.995138889,Intact Male,16,1,Euthanasia
Cat,Normal,Owner Surrender,Spayed Female,7,1,4.990972222,Spayed Female,7,1,Transfer
Dog,Normal,Stray,Neutered Male,14,1,1.004861111,Neutered Male,14,1,Return to Owner
Dog,Normal,Stray,Spayed Female,7,1,0.902083333,Spayed Female,7,1,Return to Owner
Dog,Normal,Stray,Intact Male,7,1,0.839583333,Intact Male,7,1,Return to Owner
Dog,Normal,Stray,Neutered Male,9,1,0.150694444,Neutered Male,9,1,Return to Owner
Dog,Normal,Stray,Neutered Male,11,1,0.095138889,Neutered Male,11,1,Return to Owner
Dog,Normal,Stray,Neutered Male,6,1,2.157638889,Neutered Male,6,1,Return to Owner
Dog,Normal,Stray,Neutered Male,7,1,0.046527778,Neutered Male,7,1,Return to Owner
Dog,Normal,Owner Surrender,Spayed Female,9,1,3.963194444,Spayed Female,9,1,Adoption
Dog,Normal,Stray,Intact Male,7,1,12.37986111,Neutered Male,7,1,Transfer
Dog,Normal,Stray,Spayed Female,9,1,0.986805556,Spayed Female,9,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,7,1,89.02638889,Neutered Male,8,1,Died
Dog,Normal,Public Assist,Neutered Male,7,2,10.90972222,Neutered Male,7,2,Return to Owner
Dog,Normal,Stray,Neutered Male,7,3,10.03958333,Neutered Male,7,3,Adoption
Dog,Normal,Stray,Spayed Female,8,1,0.047916667,Spayed Female,8,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,7,1,44.44930556,Neutered Male,7,1,Adoption
Cat,Normal,Owner Surrender,Spayed Female,7,1,33.94166667,Spayed Female,7,1,Adoption
Dog,Normal,Stray,Neutered Male,5,1,0.135416667,Neutered Male,5,1,Return to Owner
Dog,Normal,Stray,Neutered Male,5,2,0.109027778,Neutered Male,5,2,Return to Owner
Dog,Normal,Stray,Neutered Male,4,3,0.060416667,Neutered Male,4,3,Return to Owner
Dog,Normal,Stray,Spayed Female,5,1,0.135416667,Spayed Female,5,1,Return to Owner
Dog,Normal,Stray,Spayed Female,5,2,0.109027778,Spayed Female,5,2,Return to Owner
Dog,Injured,Stray,Spayed Female,4,3,0.059722222,Spayed Female,4,3,Return to Owner
Cat,Normal,Stray,Spayed Female,11,1,140.9326389,Spayed Female,11,1,Rto-Adopt
Dog,Normal,Stray,Neutered Male,9,1,5.100694444,Neutered Male,9,1,Return to Owner
Dog,Injured,Stray,Neutered Male,9,2,6.75625,Neutered Male,9,2,Return to Owner
Dog,Normal,Stray,Neutered Male,6,3,3.965277778,Neutered Male,6,3,Return to Owner
Cat,Normal,Stray,Spayed Female,5,1,11.17083333,Spayed Female,5,1,Transfer
Dog,Normal,Stray,Neutered Male,6,1,0.113194444,Neutered Male,6,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,5,1,7.257638889,Neutered Male,5,1,Died
Dog,Normal,Stray,Neutered Male,10,1,0.197916667,Neutered Male,10,1,Return to Owner
Dog,Normal,Public Assist,Spayed Female,8,1,9.958333333,Spayed Female,8,1,Return to Owner
Dog,Normal,Public Assist,Spayed Female,7,2,9.423611111,Spayed Female,7,2,Return to Owner
Dog,Normal,Stray,Spayed Female,7,3,45.01388889,Spayed Female,7,3,Transfer
Dog,Normal,Stray,Neutered Male,7,1,6.01875,Neutered Male,7,1,Transfer
Dog,Normal,Owner Surrender,Spayed Female,6,1,26.98958333,Spayed Female,7,1,Adoption
Dog,Normal,Stray,Neutered Male,5,1,2.027083333,Neutered Male,5,1,Return to Owner
Dog,Normal,Stray,Neutered Male,5,2,0.807638889,Neutered Male,5,2,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,13,1,31.02291667,Neutered Male,13,1,Transfer
Dog,Normal,Stray,Spayed Female,13,1,0.045138889,Spayed Female,13,1,Return to Owner
Cat,Normal,Owner Surrender,Neutered Male,4,1,18.0875,Neutered Male,4,1,Adoption
Dog,Normal,Stray,Spayed Female,11,1,0.079166667,Spayed Female,11,1,Return to Owner
Dog,Normal,Public Assist,Spayed Female,4,1,4.898611111,Spayed Female,4,1,Return to Owner
Dog,Normal,Public Assist,Spayed Female,7,1,1.886805556,Spayed Female,7,1,Return to Owner
Dog,Normal,Stray,Neutered Male,6,1,0.049305556,Neutered Male,6,1,Return to Owner
Dog,Normal,Stray,Spayed Female,6,1,248.6055556,Spayed Female,7,1,Adoption
Cat,Normal,Owner Surrender,Neutered Male,3,1,11.00486111,Neutered Male,3,1,Return to Owner
Dog,Normal,Stray,Spayed Female,4,1,5.845138889,Spayed Female,4,1,Adoption
Cat,Normal,Stray,Neutered Male,7,1,5.170833333,Neutered Male,7,1,Return to Owner
Cat,Normal,Stray,Neutered Male,6,1,255.0625,Neutered Male,6,1,Adoption
Cat,Normal,Stray,Spayed Female,7,1,119.0472222,Spayed Female,8,1,Adoption
Dog,Normal,Owner Surrender,Neutered Male,5,1,21.18819444,Neutered Male,6,1,Transfer
Dog,Normal,Stray,Neutered Male,5,2,1.352777778,Neutered Male,5,2,Return to Owner
Dog,Normal,Public Assist,Neutered Male,7,1,9.170138889,Neutered Male,7,1,Return to Owner
Dog,Normal,Stray,Spayed Female,4,1,1.226388889,Spayed Female,4,1,Return to Owner
Cat,Normal,Stray,Neutered Male,4,1,0.094444444,Neutered Male,4,1,Return to Owner
Dog,Normal,Stray,Neutered Male,10,1,10.97361111,Neutered Male,10,1,Missing
Dog,Aged,Euthanasia Request,Neutered Male,16,1,0.106944444,Neutered Male,16,1,Euthanasia
Cat,Normal,Stray,Spayed Female,4,1,0.160416667,Spayed Female,4,1,Return to Owner
Dog,Normal,Stray,Spayed Female,10,1,10.97361111,Spayed Female,10,1,Transfer
Dog,Normal,Public Assist,Neutered Male,4,1,5.768055556,Neutered Male,4,1,Return to Owner
Dog,Normal,Public Assist,Neutered Male,2,2,8.695833333,Neutered Male,2,2,Return to Owner
Dog,Normal,Public Assist,Neutered Male,7,1,1.578472222,Neutered Male,7,1,Euthanasia
Dog,Normal,Owner Surrender,Spayed Female,7,1,12.12847222,Spayed Female,7,1,Adoption
Dog,Normal,Owner Surrender,Spayed Female,12,1,3.073611111,Spayed Female,12,1,Missing
Cat,Normal,Owner Surrender,Spayed Female,4,1,18.24930556,Spayed Female,4,1,Adoption
Dog,Normal,Stray,Spayed Female,6,1,10.91527778,Spayed Female,6,1,Return to Owner
Dog,Normal,Stray,Neutered Male,7,1,0.178472222,Neutered Male,7,1,Return to Owner
Cat,Normal,Owner Surrender,Spayed Female,4,1,9.239583333,Spayed Female,4,1,Adoption
Dog,Normal,Stray,Spayed Female,7,1,45.67222222,Spayed Female,7,1,Adoption
Dog,Normal,Owner Surrender,Neutered Male,4,1,35.05833333,Neutered Male,4,1,Adoption
Dog,Normal,Owner Surrender,Neutered Male,3,2,1.100694444,Neutered Male,3,2,Return to Owner
Cat,Injured,Stray,Neutered Male,4,1,1.908333333,Neutered Male,4,1,Euthanasia
Dog,Normal,Owner Surrender,Spayed Female,6,1,7.096527778,Spayed Female,6,1,Relocate
Dog,Normal,Public Assist,Spayed Female,5,1,0.020138889,Spayed Female,5,1,Return to Owner
Dog,Normal,Stray,Neutered Male,8,1,2.145833333,Neutered Male,8,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,5,1,188.7680556,Neutered Male,5,1,Adoption
Cat,Normal,Owner Surrender,Neutered Male,5,1,9.14375,Neutered Male,5,1,Adoption
Dog,Normal,Stray,Neutered Male,7,1,64.40138889,Neutered Male,7,1,Return to Owner
Dog,Normal,Stray,Neutered Male,6,2,5.159722222,Neutered Male,6,2,Return to Owner
Cat,Normal,Stray,Neutered Male,5,1,0.084027778,Neutered Male,5,1,Return to Owner
Dog,Sick,Owner Surrender,Spayed Female,7,1,0.985416667,Spayed Female,7,1,Transfer
Dog,Normal,Owner Surrender,Spayed Female,4,1,55.15902778,Spayed Female,4,1,Relocate
Dog,Normal,Stray,Neutered Male,7,1,46.85694444,Neutered Male,8,1,Adoption
Dog,Normal,Stray,Spayed Female,6,1,0.176388889,Spayed Female,6,1,Return to Owner
Dog,Normal,Stray,Spayed Female,11,1,7.350694444,Spayed Female,11,1,Return to Owner
Dog,Normal,Stray,Spayed Female,5,1,0.045833333,Spayed Female,5,1,Return to Owner
Dog,Normal,Stray,Spayed Female,7,1,0.210416667,Spayed Female,7,1,Return to Owner
Dog,Sick,Euthanasia Request,Neutered Male,7,1,1.732638889,Neutered Male,7,1,Euthanasia
Dog,Normal,Owner Surrender,Spayed Female,6,1,5.504166667,Spayed Female,6,1,Return to Owner
Dog,Sick,Owner Surrender,Neutered Male,6,1,34.05972222,Neutered Male,6,1,Rto-Adopt
Dog,Normal,Public Assist,Spayed Female,7,1,25.09444444,Spayed Female,7,1,Transfer
Dog,Normal,Public Assist,Spayed Female,7,1,19.1,Spayed Female,7,1,Euthanasia
Dog,Normal,Public Assist,Spayed Female,13,1,25.10277778,Spayed Female,13,1,Missing
Cat,Normal,Owner Surrender,Neutered Male,7,1,13.81458333,Neutered Male,7,1,Return to Owner
Cat,Normal,Public Assist,Neutered Male,4,2,4.818055556,Neutered Male,4,2,Return to Owner
Dog,Normal,Stray,Intact Male,7,1,0.266666667,Intact Male,7,1,Return to Owner
Cat,Normal,Owner Surrender,Neutered Male,6,1,11.02430556,Neutered Male,6,1,Rto-Adopt
Dog,Injured,Stray,Intact Male,11,1,2.696527778,Intact Male,11,1,Return to Owner
Cat,Sick,Stray,Spayed Female,6,1,3.666666667,Spayed Female,6,1,Euthanasia
Dog,Normal,Stray,Spayed Female,6,1,198.7326389,Spayed Female,6,1,Adoption
Dog,Sick,Owner Surrender,Intact Male,4,1,31.19513889,Neutered Male,4,1,Missing
Dog,Injured,Stray,Neutered Male,6,1,9.984027778,Neutered Male,6,1,Return to Owner
Dog,Normal,Stray,Intact Male,6,1,5.097916667,Neutered Male,6,1,Adoption
Dog,Normal,Owner Surrender,Neutered Male,6,1,4.986111111,Neutered Male,6,1,Euthanasia
Dog,Normal,Stray,Neutered Male,10,1,28.23125,Neutered Male,10,1,Adoption
Dog,Normal,Stray,Spayed Female,11,1,6.211805556,Spayed Female,11,1,Relocate
Dog,Normal,Owner Surrender,Spayed Female,6,1,4.188194444,Spayed Female,6,1,Adoption
Dog,Normal,Stray,Neutered Male,7,1,28.14027778,Neutered Male,7,1,Died
Dog,Normal,Stray,Spayed Female,12,1,4.138194444,Spayed Female,12,1,Relocate
Dog,Normal,Stray,Spayed Female,9,1,0.119444444,Spayed Female,9,1,Return to Owner
Dog,Normal,Owner Surrender,Neutered Male,5,1,2.961111111,Neutered Male,5,1,Transfer
